,words,bow
0,search,50
1,mát,2488
2,chụp,1820
3,gốm,8
4,cat,4
5,tộc,14
6,nấu,660
7,nữa,9002
8,ruô,2
9,lote,8
10,xắp,2
11,rẻ,4648
12,coktail,2
13,zư,2
14,sex,6
15,chaicafe,2
16,biê,44
17,caramen,12
18,ga,372
19,lun,236
20,sushi,136
21,takeaway,4
22,hanoi,26
23,tiễn,20
24,everbody,4
25,heheanh,2
26,taiyaki,2
27,thâ,76
28,tiện,424
29,gia,802
30,loạt,20
31,xui,18
32,giường,46
33,hì,2
34,away,4
35,cover,8
36,hạng,10
37,nhưng,16044
38,thick,8
39,xẹt,2
40,bf,26
41,creamy,2
42,trâm,10
43,rasbery,2
44,chef,2
45,spices,2
46,mã,32
47,khỉ,14
48,nhiềunhạc,2
49,tứ,34
50,use,6
51,kia,484
52,gõ,30
53,tom,16
54,dò,2
55,gói,314
56,koreahouse,2
57,mẹt,4
58,mango,10
59,hiên,34
60,pleased,2
61,sanma,2
62,ngờ,168
63,diều,2
64,resort,22
65,tế,148
66,real,8
67,nhai,190
68,vây,18
69,angus,2
70,mày,2
71,takumi,2
72,tum,4
73,oscar,2
74,thục,4
75,coworking,2
76,ngậy,66
77,bepub,2
78,baly,2
79,season,4
80,area,14
81,gạt,6
82,hối,22
83,pres,2
84,chat,22
85,giấu,8
86,cachlamkem,2
87,marine,4
88,kẽm,2
89,xmình,2
90,oy,6
91,drawings,2
92,ngôid,2
93,lõ,2
94,lâu,2250
95,paela,2
96,gừng,126
97,lắc,14
98,architecture,2
99,zero,2
100,lọ,90
101,mại,8
102,tị,2
103,mexico,42
104,sắm,2
105,nd,8
106,chạy,1048
107,our,20
108,iêm,2
109,thought,4
110,tour,74
111,bẩn,46
112,thuica,2
113,nhiệt,84
114,prosperity,2
115,mụn,4
116,phan,66
117,lê,160
118,working,2
119,xưng,2
120,rột,6
121,live,74
122,toand,2
123,hoa,782
124,natural,10
125,der,4
126,cử,6
127,phu,492
128,ne,48
129,lạng,32
130,pastatomsotkemdutlo,2
131,bơ,814
132,must,10
133,shisha,4
134,chàng,12
135,mắng,2
136,giết,12
137,ngập,126
138,giỡn,2
139,xoay,68
140,bướm,12
141,don,22
142,canada,10
143,hangover,2
144,rôiz,2
145,mai,204
146,biến,26
147,peperonis,4
148,country,12
149,tít,2
150,trán,8
151,bặmthích,2
152,thua,76
153,source,2
154,money,6
155,thoai,2
156,ag,4
157,ipad,2
158,thiệt,30
159,ly,3316
160,thanhoa,2
161,insta,2
162,mhưng,2
163,hòa,66
164,gum,2
165,barpub,2
166,hu,60
167,hanging,2
168,kingdom,6
169,cause,2
170,fel,2
171,vietnam,50
172,true,4
173,lơn,2
174,close,2
175,design,56
176,ad,32
177,fusion,4
178,dẹp,44
179,tips,2
180,tươimón,2
181,hư,64
182,phạm,24
183,lập,8
184,you,148
185,khoe,38
186,itineraries,2
187,nhì,4
188,uốg,4
189,aniversary,2
190,nhahangtiecuoi,2
191,thú,64
192,mint,56
193,salmon,14
194,trưng,80
195,sôcla,2
196,thre,2
197,nuoc,58
198,mươi,2
199,titi,2
200,hair,6
201,liêu,4
202,thược,2
203,khongbankhonghe,2
204,created,2
205,vé,500
206,sĩ,10
207,hàg,2
208,cảm,50
209,colinh,2
210,kon,4
211,bỉ,22
212,walnut,2
213,light,4
214,cấm,24
215,tuan,2
216,rươi,2
217,jolibe,4
218,benedict,2
219,phì,8
220,bắn,46
221,barel,2
222,pork,2
223,remained,4
224,final,2
225,chese,106
226,quảng,152
227,mĩ,10
228,musy,2
229,yu,2
230,hiem,2
231,tấm,238
232,also,50
233,hoă,4
234,wa,126
235,op,8
236,móc,18
237,marketing,4
238,thiệu,18
239,khắc,14
240,sán,4
241,sera,2
242,give,6
243,lĩnh,2
244,ep,36
245,khao,6
246,dạ,56
247,rót,88
248,sôcôla,2
249,nộm,8
250,quê,170
251,hutieuchaycayde,2
252,zé,2
253,cuznv,2
254,phuong,2
255,xủi,2
256,clunb,2
257,dừng,130
258,them,32
259,thải,4
260,experience,2
261,tôm,1334
262,set,708
263,artist,4
264,bel,2
265,general,2
266,vứt,20
267,hiê,6
268,lặn,42
269,viễn,2
270,studios,2
271,khiếp,2
272,todai,2
273,hùm,2
274,nhấtvà,2
275,lầy,2
276,sd,12
277,shrim,2
278,miết,2
279,tục,6
280,images,2
281,flash,2
282,ram,52
283,tung,10
284,kiểu,1866
285,lãi,4
286,ur,2
287,kể,224
288,suoncay,2
289,nha,2874
290,district,8
291,dk,12
292,super,38
293,tiết,54
